onchain_builder_project_id,devtooling_project_id,dependency_source
0wTetcgdAs7+boj3ROTnd7BiHXTxK1oGU3haIFFyc4s=,0iGupg8Tl/ZbEszVryfNppJEWx9S1fHu8Yi9t9NLnCM=,NPM
RGNaZ+2RZeyelbd0QTGuPoxxsWBAELADGbDLHn347v0=,JEGKohqd4SMdF2XsPQx53SuYckF5GP2RrdX9vLzovBk=,NPM
aGpGH8qz3FmBNtMGV/yB4PSWzsO7SlVKvqR+vk3+7NE=,ISJwb3A6NNTyxbFJnVHANLlnawWh8kDARUXf4HZTd3s=,NPM
+Yqnb1vNtZ7qeamha1KsaDhLsAIFFNR4ZVgM4svDOZ4=,XnDkeCj+BIXcgu136Pn/CS8anzzJmjwM5NKjSNwugl0=,NPM
BvXTdDsg+jdxF9BynZy+IJejoLAolScBB2Sq78SsU20=,OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,NPM
2D5YRxufnDHKS+HeGRxq/fquJWda1owfPsxOQFcXAys=,D/EXUXnX8dbOCU6qXNGAgNxhLOdodwJNNjMPeLUHSu4=,NPM
PjPqPTput/vvThUxx6bMhInMKHuCV3t1s+K4YiHjIRg=,+PfbGQq2fXc65J+R0ni5deEPvSbqCGwIUSGfsnt3swM=,NPM
jVDQDrrV0r8aRWDzxJdVtTLUvjmaqMDE8SynmtPND9Y=,pr9u5w1LqcK44g1o2RcI9ztDGB8nZTkJYMOq7e8pvac=,NPM
Y9rXNLJ/h4thc8N6RaRQEp6qaOyGsTOF8UV+xttzzK4=,JEGKohqd4SMdF2XsPQx53SuYckF5GP2RrdX9vLzovBk=,NPM
LCI8TFIFGUudioEaZRR/WH6nLRppA/hazF5JKlZUil8=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
GaSafIT+0c0Ser5z+X+L/kks0foxsv7C37sbJY3IOM8=,NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,NPM
jcUDyxHNXWzjYk5a/zXuShEfIvBto8zfQ0k8Q8BMpao=,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,NPM
UvyC6Todt+7bSozBcCi7nGv7/MtQgyukYFuRuRz6GfQ=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
NMwxMeqwLAUieJgJHRyjvE6q/xw/KfE7em6oi9U1aRc=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
TNWtjYaVY+RmLblly/3JMQUQoo2A0sgOHU+Orzu3ETw=,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,NPM
8b2HLnQ2tYAjtu/DfLbp665a/JtmiU/ZBBxW0+ZStiA=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
IC4gXIZe/sWGrV5sOyeoSlqkS7t4BZd40afZT+2Q7bA=,NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,NPM
hHje/yl10ng5XbAXgyeDEq3hxmOkjscMbS5XNqeAg7Q=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
E9H3Htqh4/dCGgu9GUI+ksk7cayGewmtONFiBQWlveo=,JEGKohqd4SMdF2XsPQx53SuYckF5GP2RrdX9vLzovBk=,NPM
SrAW7CxbX2q6KzPf1xXwJsc5IQZqIkDDOkAx3/nTS0M=,+PfbGQq2fXc65J+R0ni5deEPvSbqCGwIUSGfsnt3swM=,NPM
xyJHxLgvqigps6mdxRScLr8Gs8Xqs1UE/5JC7l6r/J0=,pr9u5w1LqcK44g1o2RcI9ztDGB8nZTkJYMOq7e8pvac=,NPM
x2GWlHFUqBVbPwA6j96psk9R1KI+p+L4AQsSuTzS7EE=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
hE1BjGS8I9OXjnYATSkRnNJlsItBXO+CKXU6UPKJlRQ=,l6kVcu/tuzgNkXvebL+V0q7p22mPQk/KwrQs5ikWyoE=,NPM
OZc8hUTVvRXzEXAMJ6IqHeYqiGCecD6pH396GAijm/Y=,0iGupg8Tl/ZbEszVryfNppJEWx9S1fHu8Yi9t9NLnCM=,NPM
InBwrPyjI4W4SszVQ8m3Vz9EenyN2Ww0BS3a7SY7dgo=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
0bo+FpuyeDxXcG5AQW0QWClfmYYQ2G9yEnOqxofAKys=,+PfbGQq2fXc65J+R0ni5deEPvSbqCGwIUSGfsnt3swM=,NPM
hE1BjGS8I9OXjnYATSkRnNJlsItBXO+CKXU6UPKJlRQ=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
DD4IGEpD+WTpbHEOV/qeLj2x2WFlFsOAZJmuiEz/i4M=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
MaosL/aIz9e9RfKvumoSchQAGNcXegyuMFr3h0nOch0=,pr9u5w1LqcK44g1o2RcI9ztDGB8nZTkJYMOq7e8pvac=,NPM
cB6xCF6VMi8svvr0TBAONVzJR2Q0oaBi4ir93rwxBMI=,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,NPM
jcUDyxHNXWzjYk5a/zXuShEfIvBto8zfQ0k8Q8BMpao=,D/EXUXnX8dbOCU6qXNGAgNxhLOdodwJNNjMPeLUHSu4=,NPM
bHGrs5wFQsPVTRZ9AALMgCizZwlL1BrL6iFLaIo9F2k=,l6kVcu/tuzgNkXvebL+V0q7p22mPQk/KwrQs5ikWyoE=,NPM
doYa/VtOMwVT0tg/vPmRy0KUDIfTdMNTZft8QaEL2qQ=,+PfbGQq2fXc65J+R0ni5deEPvSbqCGwIUSGfsnt3swM=,NPM
aGpGH8qz3FmBNtMGV/yB4PSWzsO7SlVKvqR+vk3+7NE=,NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,NPM
ZULPOm38w6Kwc/Om0NCML9/MNUoOVoMzo1krXg0N62U=,NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,NPM
PjPqPTput/vvThUxx6bMhInMKHuCV3t1s+K4YiHjIRg=,OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,NPM
0bo+FpuyeDxXcG5AQW0QWClfmYYQ2G9yEnOqxofAKys=,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,NPM
BQZp9XtcWlf1qtTEAYicuop1b3B1gFkjBXa7eM0y4bE=,NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,NPM
eid5gZ3mC0JHbMYg33dvcofcqwp2cvkhO3LZAt8fl7A=,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,NPM
