project_id,display_name,project_name,chain,metric_name,sample_date,measurement_period,amount
Ns7AhySNrng9D+BW5HGcvHMspijwoY5cdPTLb3XEpyU=,Shredding Sassy & SHAKA,0xb23f12d6f2b8bc60e72710053d823163208ba7169565613e034423b09aaeafce,BASE,contract_invocations_monthly,2025-03-01,Mar 2025,26376.0
OT6BoCbHARe67sVFlqmawsQ8TwY9/XU7UQ883w27OUE=,Guide DAO,0xd9e0c75338d41d200ebe8d347cdedea7b648b38452aa45c9cd87bdebee726786,OPTIMISM,contract_invocations_monthly,2025-03-01,Mar 2025,1344.0
FfxHG1h+bCSAcmjqHwxG61O12Y/AkGgaMPRu584e6zU=,Smol,0x79fa54d6c030c7803827e96933fc93b092f638079c738d13a27a08b3905b95ec,OPTIMISM,contract_invocations_monthly,2025-03-01,Mar 2025,1265.0
sw8ehEEk8y0FK2GSDVnFLz7M9erX6RSQdSAgGDmiwEs=,LI.FI,0x517eaa9c56951de89261f2d7830ea49aae92f2a903104a17d9c5c2edd4959806,SONEIUM,contract_invocations_monthly,2025-03-01,Mar 2025,14650.0
VC9dxEcF3J+NFOJK8oXbeYtOWMI3kyD/r5G+Z7nu2Bg=,Guac (Farcaster),0x07bbe4af3099fbf9f18fb4ac7078ee836c5d0d3cc2c29f192dd366455671e2a5,BASE,gas_fees_transaction_level_only_monthly,2025-03-01,Mar 2025,2.9522908100512e-05
Ze2CblnBaz2Apm6a00KjwAZ7N4K5yxDUpXlK+mDkwJw=,Ethereum Attestation Service (EAS),0xa88844cea135382e3484e39c3172033437121b35ca0bc8b10b9b8253984876b5,BASE,active_farcaster_users_monthly,2025-03-01,Mar 2025,816.0
Ns7AhySNrng9D+BW5HGcvHMspijwoY5cdPTLb3XEpyU=,Shredding Sassy & SHAKA,0xb23f12d6f2b8bc60e72710053d823163208ba7169565613e034423b09aaeafce,BASE,internal_transactions_monthly,2025-03-01,Mar 2025,25524.0
Ns7AhySNrng9D+BW5HGcvHMspijwoY5cdPTLb3XEpyU=,Shredding Sassy & SHAKA,0xb23f12d6f2b8bc60e72710053d823163208ba7169565613e034423b09aaeafce,BASE,gas_fees_monthly,2025-03-01,Mar 2025,0.013865592397504914
OT6BoCbHARe67sVFlqmawsQ8TwY9/XU7UQ883w27OUE=,Guide DAO,0xd9e0c75338d41d200ebe8d347cdedea7b648b38452aa45c9cd87bdebee726786,OPTIMISM,gas_fees_monthly,2025-03-01,Mar 2025,0.00010589395416394704
EWGl5CyDKCdw2krkHJwc8V1FoELaCSXGUis9SHr2+fs=,Linkdrop,0xd765664dd27255f1ba341fbb3375439a57fb6a92313df2f7af7856233f415ed7,BASE,gas_fees_transaction_level_only_monthly,2025-03-01,Mar 2025,0.016929224465738125
Peg1TbQF7DkRiJx5Kb1lOlbwr9lRiotJWzh5acZ06Z8=,Get Mint,0xdc8c675a16e135a3518852b240cde44e9105622473623bf86725a9abb8d18847,OPTIMISM,gas_fees_transaction_level_only_monthly,2025-03-01,Mar 2025,0.00014715649860261196
mEvrDRjUXToNsXd9iYHuzB+iQr1YbbvKBy2OBObD31E=,Brahma,0xc66e357ad67e63954cd1eb79da4d507d8800518f06c82e423e93e8771e7b8d13,SWELL,gas_fees_transaction_level_only_monthly,2025-03-01,Mar 2025,0.006126067795165039
OT6BoCbHARe67sVFlqmawsQ8TwY9/XU7UQ883w27OUE=,Guide DAO,0xd9e0c75338d41d200ebe8d347cdedea7b648b38452aa45c9cd87bdebee726786,OPTIMISM,active_farcaster_users_monthly,2025-03-01,Mar 2025,9.0
Ns7AhySNrng9D+BW5HGcvHMspijwoY5cdPTLb3XEpyU=,Shredding Sassy & SHAKA,0xb23f12d6f2b8bc60e72710053d823163208ba7169565613e034423b09aaeafce,BASE,active_farcaster_users_monthly,2025-03-01,Mar 2025,101.0
g4qi9EqhPO1tGvlPtWynCaP71tw4Gjrzc+UokJDZz2Y=,DackieSwap,0x18e7582de42dd9a7fd2cb69fb6566b8bcb3e86b936b229b0c5af78fa1de791a4,OPTIMISM,active_addresses_monthly,2025-03-01,Mar 2025,459.0
uAWTL5naoNXYNpp7weim8ypopqmN4+H9fO7/1wOjpeA=,Ethereum Follow Protocol,0x800707befd6c94e7cea794200a6fee1155e54ca94bc10ee85d15c3f23845b10c,OPTIMISM,active_addresses_monthly,2025-03-01,Mar 2025,10.0
usDyvf5/FbrSIBD+zIg7Gl4TGIe3HiKC7H8gXOLfNB0=,Virtualia Magazine,0x4243a08e8c46ffd7c6249ef02baf09b98dd2c086a25ddf76f723b82b3c93b71f,OPTIMISM,active_addresses_monthly,2025-03-01,Mar 2025,4.0
2NhWIeNvC8fOFWoX3/SsLCHtwifSk3TYSEagnfFthIk=,MintSwap Finance,0xb26d9315cec30e60b52efd523c25a260c41d573458b246e60cf2de76eefd15a4,MINT,active_addresses_monthly,2025-03-01,Mar 2025,5081.0
Ns7AhySNrng9D+BW5HGcvHMspijwoY5cdPTLb3XEpyU=,Shredding Sassy & SHAKA,0xb23f12d6f2b8bc60e72710053d823163208ba7169565613e034423b09aaeafce,BASE,active_addresses_monthly,2025-03-01,Mar 2025,24681.0
OT6BoCbHARe67sVFlqmawsQ8TwY9/XU7UQ883w27OUE=,Guide DAO,0xd9e0c75338d41d200ebe8d347cdedea7b648b38452aa45c9cd87bdebee726786,OPTIMISM,active_addresses_monthly,2025-03-01,Mar 2025,692.0
VC9dxEcF3J+NFOJK8oXbeYtOWMI3kyD/r5G+Z7nu2Bg=,Guac (Farcaster),0x07bbe4af3099fbf9f18fb4ac7078ee836c5d0d3cc2c29f192dd366455671e2a5,BASE,transactions_monthly,2025-03-01,Mar 2025,65.0
EWGl5CyDKCdw2krkHJwc8V1FoELaCSXGUis9SHr2+fs=,Linkdrop,0xd765664dd27255f1ba341fbb3375439a57fb6a92313df2f7af7856233f415ed7,BASE,transactions_monthly,2025-03-01,Mar 2025,11646.0
Peg1TbQF7DkRiJx5Kb1lOlbwr9lRiotJWzh5acZ06Z8=,Get Mint,0xdc8c675a16e135a3518852b240cde44e9105622473623bf86725a9abb8d18847,OPTIMISM,transactions_monthly,2025-03-01,Mar 2025,484.0
mEvrDRjUXToNsXd9iYHuzB+iQr1YbbvKBy2OBObD31E=,Brahma,0xc66e357ad67e63954cd1eb79da4d507d8800518f06c82e423e93e8771e7b8d13,SWELL,transactions_monthly,2025-03-01,Mar 2025,6484.0
D/phNjIkMkuESYi0XbICo299wHOagQbo2WSAyODxDp0=,Stargate Finance,0x62e37e96aa6e1cbfb6bd24b97c4b8f1e12cc3fe35d5388d2f041c42a12b40745,BASE,transactions_monthly,2025-03-01,Mar 2025,21800.0
jB/Odn2EzRAIVyyhY7eTBdOtrWdBQr1Bn9QFSaJc6uQ=,ZKP2P,0xc6203aeab9c0b7346ca9bcb36a2db50c7823908fd66ad61913a53ad6dbc77192,BASE,transactions_monthly,2025-03-01,Mar 2025,996.0
inHPXAwcpnmNnzuMDBO9CsDuph+M4UNF3XwNNhTpafs=,Across Protocol,0x72723e07fe409557489a6643b43d9493a94c10ba68230b0527f01834cb6a550f,OPTIMISM,gas_fees_monthly,2025-03-01,Mar 2025,0.5999549169278074
5pKMLWfNkmCqGNkDWMXHeyYR+9Uc3EOVJRd+EG+ULsc=,Decent.xyz,0x38c38455bb0fd71d2929fcf799279569ab5f5c5d3e1f92f8642ce87aa25accdf,ZORA,gas_fees_monthly,2025-03-01,Mar 2025,0.024916565069123146
gUFAlmQjlPwJ47EfIYcW8OScZ5iHFZBD/TE4Mhx9WQc=,Party.app + Party Protocol,0x850df51e29f2846a5f085d88e6b6fc13fad51ad7161f8a825ed09d470668161a,ZORA,gas_fees_transaction_level_only_monthly,2025-03-01,Mar 2025,0.00014164031074030204
owZ14rxpDWPBMxBXsdu3ybsF/7IsdtcyAz5JpAp8sb0=,Multichaintools,0xeb6d215732b1ed881e718faa8bf8b4b88a94edf021efa9a3cf3e2cc3c22b0961,BOB,gas_fees_transaction_level_only_monthly,2025-03-01,Mar 2025,7.204149065817999e-06
Js09gjzwO4g6aeV2Fb+ZNlHypJc4DlUozk3enNLotIc=,Dmail Network,0xcbfdcf8f724d73504d1518d5ecd7d7256b12d37e68cd84569b383bfb6e2eeea4,BASE,gas_fees_transaction_level_only_monthly,2025-03-01,Mar 2025,0.006280589438136359
sw8ehEEk8y0FK2GSDVnFLz7M9erX6RSQdSAgGDmiwEs=,LI.FI,0x517eaa9c56951de89261f2d7830ea49aae92f2a903104a17d9c5c2edd4959806,SONEIUM,active_farcaster_users_monthly,2025-03-01,Mar 2025,2494.0
FfxHG1h+bCSAcmjqHwxG61O12Y/AkGgaMPRu584e6zU=,Smol,0x79fa54d6c030c7803827e96933fc93b092f638079c738d13a27a08b3905b95ec,OPTIMISM,active_farcaster_users_monthly,2025-03-01,Mar 2025,9.0
sw8ehEEk8y0FK2GSDVnFLz7M9erX6RSQdSAgGDmiwEs=,LI.FI,0x517eaa9c56951de89261f2d7830ea49aae92f2a903104a17d9c5c2edd4959806,SONEIUM,active_addresses_monthly,2025-03-01,Mar 2025,6060.0
FfxHG1h+bCSAcmjqHwxG61O12Y/AkGgaMPRu584e6zU=,Smol,0x79fa54d6c030c7803827e96933fc93b092f638079c738d13a27a08b3905b95ec,OPTIMISM,active_addresses_monthly,2025-03-01,Mar 2025,46.0
2NhWIeNvC8fOFWoX3/SsLCHtwifSk3TYSEagnfFthIk=,MintSwap Finance,0xb26d9315cec30e60b52efd523c25a260c41d573458b246e60cf2de76eefd15a4,MINT,amortized_contract_invocations_monthly,2025-03-01,Mar 2025,157472.5
sw8ehEEk8y0FK2GSDVnFLz7M9erX6RSQdSAgGDmiwEs=,LI.FI,0x517eaa9c56951de89261f2d7830ea49aae92f2a903104a17d9c5c2edd4959806,SONEIUM,amortized_contract_invocations_monthly,2025-03-01,Mar 2025,14614.5
FfxHG1h+bCSAcmjqHwxG61O12Y/AkGgaMPRu584e6zU=,Smol,0x79fa54d6c030c7803827e96933fc93b092f638079c738d13a27a08b3905b95ec,OPTIMISM,amortized_contract_invocations_monthly,2025-03-01,Mar 2025,1263.0
g4qi9EqhPO1tGvlPtWynCaP71tw4Gjrzc+UokJDZz2Y=,DackieSwap,0x18e7582de42dd9a7fd2cb69fb6566b8bcb3e86b936b229b0c5af78fa1de791a4,OPTIMISM,contract_invocations_monthly,2025-03-01,Mar 2025,2398.0
usDyvf5/FbrSIBD+zIg7Gl4TGIe3HiKC7H8gXOLfNB0=,Virtualia Magazine,0x4243a08e8c46ffd7c6249ef02baf09b98dd2c086a25ddf76f723b82b3c93b71f,OPTIMISM,contract_invocations_monthly,2025-03-01,Mar 2025,4.0
uAWTL5naoNXYNpp7weim8ypopqmN4+H9fO7/1wOjpeA=,Ethereum Follow Protocol,0x800707befd6c94e7cea794200a6fee1155e54ca94bc10ee85d15c3f23845b10c,OPTIMISM,contract_invocations_monthly,2025-03-01,Mar 2025,15.0
usDyvf5/FbrSIBD+zIg7Gl4TGIe3HiKC7H8gXOLfNB0=,Virtualia Magazine,0x4243a08e8c46ffd7c6249ef02baf09b98dd2c086a25ddf76f723b82b3c93b71f,OPTIMISM,internal_transactions_monthly,2025-03-01,Mar 2025,3.0
g4qi9EqhPO1tGvlPtWynCaP71tw4Gjrzc+UokJDZz2Y=,DackieSwap,0x18e7582de42dd9a7fd2cb69fb6566b8bcb3e86b936b229b0c5af78fa1de791a4,OPTIMISM,internal_transactions_monthly,2025-03-01,Mar 2025,2391.0
Ze2CblnBaz2Apm6a00KjwAZ7N4K5yxDUpXlK+mDkwJw=,Ethereum Attestation Service (EAS),0xa88844cea135382e3484e39c3172033437121b35ca0bc8b10b9b8253984876b5,BASE,amortized_contract_invocations_monthly,2025-03-01,Mar 2025,41023.5
cAaBVZiIeQZu4fS3TLKB2SgqPCHj7MtzVq27nQZkmS8=,Exa App,0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,OPTIMISM,amortized_contract_invocations_monthly,2025-03-01,Mar 2025,10167.0
gUFAlmQjlPwJ47EfIYcW8OScZ5iHFZBD/TE4Mhx9WQc=,Party.app + Party Protocol,0x850df51e29f2846a5f085d88e6b6fc13fad51ad7161f8a825ed09d470668161a,ZORA,transactions_monthly,2025-03-01,Mar 2025,2390.0
owZ14rxpDWPBMxBXsdu3ybsF/7IsdtcyAz5JpAp8sb0=,Multichaintools,0xeb6d215732b1ed881e718faa8bf8b4b88a94edf021efa9a3cf3e2cc3c22b0961,BOB,transactions_monthly,2025-03-01,Mar 2025,214.0
2NhWIeNvC8fOFWoX3/SsLCHtwifSk3TYSEagnfFthIk=,MintSwap Finance,0xb26d9315cec30e60b52efd523c25a260c41d573458b246e60cf2de76eefd15a4,MINT,contract_invocations_monthly,2025-03-01,Mar 2025,163959.0
Ze2CblnBaz2Apm6a00KjwAZ7N4K5yxDUpXlK+mDkwJw=,Ethereum Attestation Service (EAS),0xa88844cea135382e3484e39c3172033437121b35ca0bc8b10b9b8253984876b5,BASE,gas_fees_monthly,2025-03-01,Mar 2025,0.05577640274804726
cAaBVZiIeQZu4fS3TLKB2SgqPCHj7MtzVq27nQZkmS8=,Exa App,0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,OPTIMISM,gas_fees_monthly,2025-03-01,Mar 2025,0.1599245589951232
rnCU69afAeJVsln1gXM1Pt6cMqD09FFS5C8Q38NWifM=,Passport XYZ | Gitcoin Passport,0x120cdd8e43ae1efbafdf02eda876e1952c05a52870c8d5a8f56d9ec0f79f586d,OPTIMISM,gas_fees_transaction_level_only_monthly,2025-03-01,Mar 2025,0.0006800488806727735
qORdAv/JC4no/SKjJY5GbK3FSmUyOyhSl0oXKsJ6B6g=,OpenOcean,0x24ff0fb2933e55b169a80d9bd35a00a7011795387717b27445ccdc0f8660d740,UNICHAIN,gas_fees_transaction_level_only_monthly,2025-03-01,Mar 2025,0.0024148934763241095
Z+CzwCk+hEU6w5h9+AuRi76L3rlOtKJe5mTt56CK/D4=,Poopzter,0xe329147afe5f04d45a1ba005819ef75b36136576aff042b0714ba793f0727938,OPTIMISM,gas_fees_transaction_level_only_monthly,2025-03-01,Mar 2025,3.963414137978e-06
tnIsq+BWiIkXbY18UI8L609BBs89EO4o+MJ3+hmFsAA=,Amazing Hunt,0x9e50828e261179c6d1a5c107c7c2c16907b4b529fef416f64af781c5b2ff29d1,OPTIMISM,gas_fees_transaction_level_only_monthly,2025-03-01,Mar 2025,1.74367908526e-06
inHPXAwcpnmNnzuMDBO9CsDuph+M4UNF3XwNNhTpafs=,Across Protocol,0x72723e07fe409557489a6643b43d9493a94c10ba68230b0527f01834cb6a550f,OPTIMISM,active_addresses_monthly,2025-03-01,Mar 2025,80248.0
5pKMLWfNkmCqGNkDWMXHeyYR+9Uc3EOVJRd+EG+ULsc=,Decent.xyz,0x38c38455bb0fd71d2929fcf799279569ab5f5c5d3e1f92f8642ce87aa25accdf,ZORA,active_addresses_monthly,2025-03-01,Mar 2025,867.0
Ze2CblnBaz2Apm6a00KjwAZ7N4K5yxDUpXlK+mDkwJw=,Ethereum Attestation Service (EAS),0xa88844cea135382e3484e39c3172033437121b35ca0bc8b10b9b8253984876b5,BASE,active_addresses_monthly,2025-03-01,Mar 2025,1825.0
cAaBVZiIeQZu4fS3TLKB2SgqPCHj7MtzVq27nQZkmS8=,Exa App,0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,OPTIMISM,active_addresses_monthly,2025-03-01,Mar 2025,417.0
